State,ProgramId
Minnesota,118
California,101
Oregon,79
New York,78
Texas,75
Colorado,75
Washington,68
Maryland,58
Massachusetts,56
Florida,52
Illinois,49
Indiana,48
Missouri,48
North Carolina,45
Pennsylvania,41
Wisconsin,41
South Carolina,39
Kentucky,39
Iowa,36
Arizona,35
Ohio,35
Connecticut,35
Michigan,34
Georgia,31
New Jersey,31
Vermont,30
New Hampshire,29
Virginia,29
New Mexico,26
Idaho,25
Oklahoma,24
Arkansas,20
Nevada,19
Montana,19
Mississippi,18
South Dakota,18
Alabama,17
Utah,17
Hawaii,16
Tennessee,16
Rhode Island,15
Wyoming,15
Louisiana,13
Nebraska,13
Delaware,13
Alaska,13
North Dakota,9
Maine,6
West Virginia,5
Kansas,3
