State,ProgramId
California,48
Texas,38
North Carolina,24
Arizona,23
Oregon,22
Florida,21
Colorado,21
New York,17
Washington,16
Illinois,16
Massachusetts,15
Virginia,14
Maryland,14
Minnesota,14
New Jersey,14
Maine,14
Connecticut,14
Rhode Island,14
Wisconsin,12
New Mexico,12
Hawaii,12
Michigan,12
Delaware,12
Iowa,11
Missouri,11
Pennsylvania,11
Ohio,11
Utah,11
New Hampshire,10
Vermont,10
Kansas,9
Nevada,9
Indiana,8
Montana,8
Louisiana,8
Oklahoma,8
Georgia,7
Arkansas,6
South Carolina,6
Kentucky,5
Idaho,5
South Dakota,5
North Dakota,5
West Virginia,5
Nebraska,5
Alaska,4
Wyoming,4
Mississippi,4
Tennessee,3
Alabama,3
