State,ProgramId
California,69
Wisconsin,54
Minnesota,52
Oregon,44
Washington,37
Colorado,35
Iowa,33
Kentucky,32
Tennessee,31
Texas,29
Florida,28
Massachusetts,28
Ohio,28
North Carolina,27
Illinois,26
Nebraska,24
South Dakota,23
Indiana,23
Idaho,22
Michigan,22
New York,22
New Hampshire,20
South Carolina,19
Missouri,19
New Mexico,18
Georgia,18
Montana,18
Connecticut,17
Arkansas,17
Wyoming,17
North Dakota,17
Pennsylvania,16
Alaska,16
Arizona,16
Alabama,15
Kansas,14
Rhode Island,14
Utah,14
Mississippi,14
New Jersey,12
Maine,11
Maryland,11
Nevada,10
Vermont,9
Virginia,9
Oklahoma,8
Delaware,7
Louisiana,7
West Virginia,3
Hawaii,1
